Toyota Camry, 2022, 5, 25000.00
Honda Accord, 2021, 8, 23000.00
Ford Mustang, 2020, 3, 35000.00
Chevrolet Malibu, 2022, 6, 26000.00
Nissan Altima, 2021, 7, 24000.00
Hyundai Sonata, 2020, 4, 27000.00
Kia Optima, 2022, 9, 28000.00
Mazda6, 2021, 2, 30000.00
Volkswagen Passat, 2020, 5, 29000.00
Subaru Legacy, 2022, 10, 31000.00
Audi A4, 2021, 4, 40000.00
BMW 3 Series, 2020, 6, 42000.00
Mercedes-Benz C-Class, 2022, 3, 45000.00
Lexus ES, 2021, 8, 38000.00
Tesla Model 3, 2020, 5, 50000.00
Bugatti, 2003, 5, 200000.00
